trial,familia,feature_set,accuracy,n_estimators,num_leaves,learning_rate,subsample,colsample_bytree,min_child_samples,reg_lambda,iterations,depth,l2_leaf_reg,max_depth,min_child_weight,reg_alpha
117,catboost,con_estacion,86.47895450066329,,,0.03,,,,,1500.0,8.0,10.0,,,
172,lightgbm,sin_lag_semanal,86.45355407395472,600.0,255.0,0.05,0.8,0.9,40.0,1.0,,,,,,
32,catboost,con_estacion,86.45244544421608,,,0.05,,,,,600.0,10.0,10.0,,,
115,lightgbm,sin_lag_semanal,86.44460840230215,1200.0,31.0,0.08,0.7,0.6,40.0,1.0,,,,,,
55,lightgbm,sin_lag_semanal,86.4368949829451,1200.0,255.0,0.01,1.0,0.7,40.0,1.0,,,,,,
93,xgboost,sin_lag_semanal,86.42864466947715,1200.0,,0.02,1.0,0.5,,0.5,,,,8.0,1.0,1.0
78,lightgbm,sin_lag_semanal,86.40757697126355,300.0,255.0,0.08,1.0,0.7,10.0,1.0,,,,,,
98,xgboost,sin_lag_semanal,86.39041343068982,1200.0,,0.02,0.6,0.6,,0.0,,,,10.0,1.0,0.5
112,catboost,con_estacion,86.38568542697215,,,0.03,,,,,1200.0,8.0,3.0,,,
148,lightgbm,con_estacion,86.38001270668633,2000.0,255.0,0.02,0.7,0.6,10.0,1.0,,,,,,
39,lightgbm,con_estacion,86.34764059723823,1200.0,31.0,0.08,0.8,0.9,40.0,5.0,,,,,,
147,xgboost,sin_lag_semanal,86.34639448902946,2000.0,,0.02,0.8,0.5,,5.0,,,,7.0,10.0,0.0
198,xgboost,sin_lag_semanal,86.34234029468386,300.0,,0.02,1.0,0.7,,0.5,,,,12.0,10.0,2.0
103,xgboost,sin_lag_semanal,86.3254739043453,1200.0,,0.05,0.5,0.7,,0.5,,,,10.0,20.0,0.5
22,lightgbm,sin_lag_semanal,86.32064239761051,900.0,127.0,0.02,0.8,0.9,40.0,2.0,,,,,,
62,lightgbm,con_estacion,86.27524699775655,1500.0,127.0,0.05,0.6,0.9,20.0,0.5,,,,,,
121,lightgbm,con_estacion,86.26962284527491,1200.0,63.0,0.08,0.6,0.6,20.0,5.0,,,,,,
68,xgboost,con_estacion,86.20302256195595,1600.0,,0.05,1.0,1.0,,0.5,,,,7.0,10.0,2.0
95,xgboost,sin_lag_semanal,86.19070428595411,800.0,,0.08,0.6,0.7,,1.0,,,,10.0,20.0,1.0
142,xgboost,con_estacion,86.15637718611579,800.0,,0.08,1.0,0.7,,10.0,,,,12.0,5.0,0.0
186,lightgbm,sin_lag_semanal,86.14142823952686,1200.0,63.0,0.02,0.8,0.8,10.0,1.0,,,,,,
183,lightgbm,sin_lag_semanal,86.12493697824488,300.0,127.0,0.05,0.7,0.5,80.0,1.0,,,,,,
80,lightgbm,con_estacion,86.12269787701455,1200.0,63.0,0.02,0.9,0.9,80.0,2.0,,,,,,
4,lightgbm,con_estacion,86.11960832508457,2000.0,127.0,0.08,0.7,0.9,80.0,5.0,,,,,,
7,lightgbm,con_estacion,86.11499331278789,300.0,127.0,0.08,1.0,0.6,20.0,1.0,,,,,,
75,lightgbm,sin_lag_semanal,86.10512759486723,1200.0,63.0,0.02,0.7,0.6,40.0,1.0,,,,,,
130,xgboost,sin_lag_semanal,86.08122685457965,800.0,,0.08,0.6,0.8,,2.0,,,,10.0,1.0,0.5
36,lightgbm,sin_lag_semanal,86.0793004376308,1200.0,63.0,0.02,0.6,0.5,40.0,0.5,,,,,,
14,lightgbm,sin_lag_semanal,86.05335541127874,1200.0,127.0,0.01,0.9,0.8,20.0,2.0,,,,,,
170,catboost,sin_lag_semanal,86.05130961785095,,,0.08,,,,,300.0,8.0,1.0,,,
171,lightgbm,con_estacion,86.04805349824004,1500.0,127.0,0.08,0.6,0.9,10.0,0.0,,,,,,
15,xgboost,sin_lag_semanal,86.02680254726404,800.0,,0.02,0.6,0.6,,1.0,,,,8.0,10.0,2.0
106,lightgbm,sin_lag_semanal,86.02158456927106,300.0,63.0,0.08,1.0,0.7,20.0,1.0,,,,,,
163,xgboost,sin_lag_semanal,86.01135049994711,200.0,,0.1,0.9,0.7,,0.0,,,,12.0,3.0,0.1
21,catboost,con_estacion,86.0099575382918,,,0.03,,,,,1500.0,6.0,1.0,,,
104,catboost,sin_lag_semanal,86.00071890601862,,,0.03,,,,,1500.0,6.0,3.0,,,
18,xgboost,con_estacion,85.9995231536875,1600.0,,0.08,0.8,0.5,,5.0,,,,12.0,10.0,0.0
158,catboost,con_estacion,85.98587866287421,,,0.05,,,,,300.0,10.0,1.0,,,
125,catboost,sin_lag_semanal,85.9737883556259,,,0.05,,,,,900.0,6.0,3.0,,,
53,catboost,con_estacion,85.95440124991417,,,0.08,,,,,600.0,6.0,10.0,,,
141,xgboost,con_estacion,85.94985471256581,800.0,,0.01,0.6,1.0,,0.0,,,,10.0,10.0,2.0
119,xgboost,sin_lag_semanal,85.94065972077352,400.0,,0.1,0.7,1.0,,2.0,,,,7.0,5.0,1.0
118,xgboost,con_estacion,85.93778069666475,800.0,,0.05,0.7,0.8,,1.0,,,,7.0,1.0,0.0
88,lightgbm,sin_lag_semanal,85.93457887940507,600.0,31.0,0.08,0.6,0.6,10.0,1.0,,,,,,
42,xgboost,con_estacion,85.92252104816,600.0,,0.08,0.9,1.0,,0.5,,,,10.0,10.0,0.0
165,catboost,con_estacion,85.89869777350191,,,0.1,,,,,1500.0,4.0,10.0,,,
9,xgboost,sin_lag_semanal,85.8767416625069,400.0,,0.08,1.0,0.5,,2.0,,,,12.0,1.0,0.0
64,xgboost,sin_lag_semanal,85.86969499371327,400.0,,0.05,0.9,0.6,,1.0,,,,7.0,20.0,0.1
54,catboost,sin_lag_semanal,85.83671492848742,,,0.01,,,,,1200.0,10.0,5.0,,,
155,lightgbm,con_estacion,85.8109629332467,900.0,63.0,0.02,0.9,0.9,40.0,0.5,,,,,,
123,xgboost,sin_lag_semanal,85.80579545731666,1200.0,,0.01,0.6,0.5,,2.0,,,,8.0,3.0,1.0
151,catboost,con_estacion,85.76991099969108,,,0.03,,,,,1200.0,6.0,1.0,,,
19,xgboost,con_estacion,85.7538013551881,800.0,,0.08,0.5,1.0,,2.0,,,,12.0,20.0,0.1
156,lightgbm,sin_lag_semanal,85.66232676435017,300.0,255.0,0.02,0.9,0.6,20.0,5.0,,,,,,
20,xgboost,con_estacion,85.60255109518118,200.0,,0.02,0.6,1.0,,10.0,,,,12.0,20.0,2.0
84,xgboost,con_estacion,85.58584953501607,200.0,,0.02,0.6,0.9,,1.0,,,,10.0,3.0,0.0
179,xgboost,sin_lag_semanal,85.55991719102998,800.0,,0.01,1.0,0.8,,1.0,,,,8.0,20.0,0.0
176,lightgbm,base,85.53196606155359,1200.0,255.0,0.02,0.7,0.8,40.0,2.0,,,,,,
127,lightgbm,base,85.47491085628918,2000.0,127.0,0.02,0.7,0.6,40.0,0.0,,,,,,
57,catboost,base,85.46752622640564,,,0.08,,,,,1500.0,8.0,3.0,,,
169,lightgbm,con_estacion,85.46458182450179,1200.0,63.0,0.01,0.6,0.5,40.0,2.0,,,,,,
91,catboost,sin_lag_semanal,85.44802671251578,,,0.08,,,,,1200.0,4.0,10.0,,,
96,catboost,sin_lag_semanal,85.43965906168357,,,0.01,,,,,1500.0,8.0,5.0,,,
196,xgboost,base,85.43254146269294,2000.0,,0.005,0.5,0.9,,0.5,,,,12.0,10.0,0.5
173,lightgbm,base,85.41897115713589,600.0,255.0,0.05,0.7,0.9,80.0,0.0,,,,,,
146,catboost,con_estacion,85.41712238771412,,,0.1,,,,,900.0,4.0,1.0,,,
185,lightgbm,base,85.40100822352635,1500.0,255.0,0.05,0.7,0.6,40.0,0.0,,,,,,
43,xgboost,con_estacion,85.392794539679,600.0,,0.1,0.8,1.0,,1.0,,,,5.0,1.0,1.0
139,xgboost,base,85.38115545143432,1200.0,,0.005,0.9,0.8,,0.0,,,,12.0,1.0,0.0
120,lightgbm,base,85.37194237141473,900.0,127.0,0.05,0.9,0.9,80.0,0.5,,,,,,
199,catboost,base,85.35470042029277,,,0.08,,,,,900.0,8.0,10.0,,,
87,xgboost,base,85.3530806408189,800.0,,0.02,0.7,0.8,,5.0,,,,10.0,1.0,1.0
188,lightgbm,base,85.35068504974693,2000.0,63.0,0.05,1.0,0.8,40.0,5.0,,,,,,
17,xgboost,con_estacion,85.26834931342894,400.0,,0.05,1.0,1.0,,1.0,,,,6.0,5.0,0.1
46,xgboost,sin_lag_semanal,85.26596477071878,300.0,,0.02,1.0,0.6,,0.5,,,,8.0,5.0,1.0
89,xgboost,base,85.2484747196017,2000.0,,0.02,1.0,0.6,,0.5,,,,8.0,1.0,0.0
73,lightgbm,base,85.23857186954329,1200.0,63.0,0.05,0.7,0.9,20.0,2.0,,,,,,
